파라, 196, 63
차하, 198, 72
자차, 162, 52
사다, 153, 93
나마, 178, 53
다나, 161, 83
하바, 163, 82
아라, 178, 90
가나, 181, 87
하나, 181, 68
파사, 181, 84
타하, 193, 69
타자, 196, 77
카사, 180, 78
하가, 190, 90
차가, 164, 60
가카, 156, 98
카사, 167, 75
라바, 160, 97
나파, 177, 79
나카, 155, 94
하아, 192, 72
파다, 193, 65
하바, 174, 73
카마, 181, 67
라사, 185, 57
파아, 184, 73
바자, 189, 63
자파, 155, 78
하라, 192, 77
나라, 197, 84
마파, 164, 77
사타, 187, 92
사타, 158, 53
파다, 156, 76
마사, 190, 86
파나, 170, 96
라카, 166, 92
마다, 163, 50
다사, 151, 51
나라, 150, 83
자바, 167, 70
다파, 160, 73
마아, 168, 91
차사, 199, 89
다다, 189, 84
다타, 171, 63
아바, 179, 76
바차, 157, 95
라파, 183, 57
바가, 195, 52
자타, 167, 56
마나, 198, 76
타마, 165, 79
사파, 162, 85
카라, 155, 77
마아, 172, 74
파나, 155, 69
아파, 199, 82
마자, 173, 77
카사, 168, 65
사아, 157, 98
자마, 180, 84
자다, 170, 74
바마, 174, 97
하차, 193, 97
아자, 157, 70
나라, 192, 75
바바, 190, 92
아파, 169, 61
마파, 185, 52
자나, 167, 87
나가, 154, 96
아타, 188, 54
라가, 177, 63
마가, 177, 99
하라, 198, 65
타카, 180, 61
라다, 171, 95
파차, 160, 61
하카, 167, 91
다마, 170, 85
마나, 199, 85
라다, 191, 99
바카, 154, 92
다아, 188, 69
아차, 191, 53
카가, 180, 77
자마, 154, 54
아자, 164, 54
아카, 180, 52
라하, 163, 94
하다, 191, 83
라가, 176, 70
카사, 168, 78
하차, 151, 82
아카, 198, 69
라가, 197, 68
가파, 161, 70
마타, 174, 92
나하, 190, 86
차사, 157, 66
사가, 188, 71
나카, 194, 85
라파, 189, 65
다카, 178, 87
타타, 174, 76
카다, 195, 78
자자, 191, 53
타다, 161, 73
바사, 162, 74
자파, 152, 70
바카, 150, 58
아바, 153, 91
카아, 195, 83
아차, 196, 58
자가, 158, 65
차바, 181, 85
사사, 158, 50
차아, 158, 94
가사, 194, 69
라사, 180, 52
파바, 188, 79
라카, 169, 96
나다, 178, 53
자타, 159, 89
다사, 154, 73
파나, 180, 70
마다, 153, 84
바자, 186, 91
마아, 187, 79
다나, 172, 65
라나, 188, 50
다하, 157, 81
아카, 157, 51
차라, 184, 79
바자, 158, 89
라다, 168, 66
자자, 186, 90
아카, 158, 55
가아, 190, 99
마하, 184, 60
차나, 178, 93
가바, 197, 81
파카, 178, 93
바나, 158, 94
파파, 192, 87
카아, 181, 88
다바, 164, 56
타다, 170, 64
다카, 165, 67
마타, 173, 95
타자, 186, 71
하사, 169, 56
파라, 156, 99
다사, 192, 50
카가, 159, 71
차파, 182, 60
다나, 182, 73
바자, 151, 68
라아, 185, 72
바아, 199, 82
마다, 185, 67
타마, 194, 70
라파, 163, 87
라차, 196, 83
다차, 172, 58
사바, 173, 75
가차, 173, 80
자나, 158, 57
가아, 154, 58
카파, 192, 73
라가, 183, 52
사가, 174, 67
파라, 154, 55
가카, 177, 85
바카, 160, 60
자아, 190, 97
사나, 189, 65
파아, 175, 94
라사, 159, 65
타파, 198, 84
타파, 182, 89
카카, 159, 76
가타, 182, 94
마바, 190, 93
바하, 157, 89
다다, 189, 61
아파, 176, 89
자카, 184, 75
라바, 188, 92
사사, 186, 98
자차, 156, 73
나파, 162, 93
마카, 193, 52
하하, 173, 51
나가, 193, 83
자마, 180, 53
자바, 176, 58
파하, 176, 93
마나, 171, 73
사나, 182, 53
타마, 176, 88
자타, 179, 89
라바, 150, 68
나다, 187, 60
카차, 196, 77
마가, 155, 69
차사, 199, 52
사다, 181, 61
파아, 198, 96
마사, 196, 98
라라, 157, 88
카나, 166, 97
타라, 174, 74
가카, 176, 53
하아, 169, 88
가가, 168, 64
파차, 166, 93
라아, 163, 92
아자, 160, 55
마바, 177, 94
하마, 162, 92
차파, 191, 86
아카, 170, 55
사파, 171, 72
나카, 183, 74
사파, 188, 87
자바, 192, 59
타사, 183, 90
사차, 183, 68
바나, 163, 83
라사, 196, 97
다아, 172, 78
바나, 161, 89
파사, 165, 55
마카, 171, 71
차나, 165, 65
타아, 163, 91
다바, 155, 55
가차, 156, 70
사타, 195, 51
다카, 197, 74
타차, 156, 73
카파, 174, 74
차마, 159, 56
라하, 189, 59
라나, 166, 99
나아, 172, 91
바타, 194, 68
차마, 164, 92
바차, 192, 76
카자, 168, 57
파가, 189, 58
다아, 193, 68
다타, 195, 81
마아, 153, 86
타아, 157, 83
나라, 181, 88
자다, 191, 74
타가, 162, 54
차마, 185, 78
사카, 188, 53
차나, 198, 74
하아, 172, 74
다사, 182, 72
라파, 159, 75
하자, 156, 56
사가, 174, 67
타카, 186, 79
파자, 157, 65
나카, 189, 65
차차, 197, 97
가카, 156, 61
나바, 174, 95
라가, 188, 56
다아, 187, 77
나마, 174, 75
사하, 160, 73
다사, 170, 87
파가, 157, 62
마자, 179, 54
차사, 167, 89
라자, 186, 55
다하, 160, 85
자파, 150, 81
차카, 159, 93
파카, 193, 79
바다, 180, 97
마파, 195, 96
바다, 156, 67
아카, 188, 76
라사, 152, 73
사마, 163, 61
바타, 182, 54
자타, 154, 85
나라, 156, 70
아사, 165, 94
바라, 160, 77
다카, 193, 64
하라, 152, 74
차카, 165, 68
카자, 185, 95
카바, 169, 87
차카, 178, 84
파마, 156, 54
타바, 152, 85
다카, 179, 59
가마, 185, 69
라마, 175, 88
나하, 177, 57
자하, 192, 75
마아, 155, 97
카가, 150, 65
파파, 155, 55
다파, 183, 70
카다, 161, 55
파아, 194, 81
가자, 193, 97
가차, 153, 66
가라, 169, 60
파하, 162, 59
가카, 189, 91
라차, 156, 94
가아, 157, 98
타자, 166, 99
차차, 181, 85
라아, 186, 87
파사, 174, 82
나하, 158, 88
바아, 183, 92
파자, 180, 57
다타, 176, 95
하라, 182, 94
바하, 179, 90
자아, 192, 87
사파, 173, 71
다파, 162, 58
자가, 174, 97
파아, 197, 53
카카, 159, 59
사아, 171, 67
라파, 175, 67
사카, 194, 99
아파, 172, 92
